Epoch,Loss,Time
0,6.8836,2021-02-23 17:12:41.590930
1,6.8629,2021-02-23 17:14:39.977851
2,6.7862,2021-02-23 17:16:38.841858
3,6.7067,2021-02-23 17:18:37.732688
4,6.6213,2021-02-23 17:20:38.590560
5,6.5645,2021-02-23 17:22:38.830352
6,6.5248,2021-02-23 17:24:39.429940
7,6.4994,2021-02-23 17:26:39.333016
8,6.4662,2021-02-23 17:28:41.199383
9,6.4291,2021-02-23 17:30:39.914474
10,6.3930,2021-02-23 17:32:38.232545
11,6.3640,2021-02-23 17:34:38.134935
12,6.3616,2021-02-23 17:36:38.961418
13,6.3104,2021-02-23 17:38:37.166353
14,6.2802,2021-02-23 17:40:34.059256
15,6.2374,2021-02-23 17:42:33.161246
16,6.2133,2021-02-23 17:44:32.789538
17,6.2179,2021-02-23 17:46:34.393352
18,6.1565,2021-02-23 17:48:34.937709
19,6.1103,2021-02-23 17:50:35.158714
20,6.0897,2021-02-23 17:52:35.770760
21,6.0715,2021-02-23 17:54:37.944448
22,6.0415,2021-02-23 17:56:40.636168
23,5.9921,2021-02-23 17:58:39.640258
24,5.9479,2021-02-23 18:00:41.148679
25,5.8889,2021-02-23 18:02:41.918913
26,5.8303,2021-02-23 18:04:43.137446
27,5.8085,2021-02-23 18:06:44.989212
28,5.7213,2021-02-23 18:08:44.678562
29,5.6645,2021-02-23 18:10:46.188344
30,5.5994,2021-02-23 18:12:46.483966
31,5.5272,2021-02-23 18:14:45.459783
32,5.4937,2021-02-23 18:16:45.136700
33,5.4357,2021-02-23 18:18:46.217822
34,5.3852,2021-02-23 18:20:45.298904
35,5.3312,2021-02-23 18:22:46.256885
36,5.2470,2021-02-23 18:24:48.061348
37,5.2104,2021-02-23 18:26:48.984637
38,5.1374,2021-02-23 18:28:50.892142
39,5.0900,2021-02-23 18:30:52.573246
40,5.0470,2021-02-23 18:32:51.066371
41,5.0123,2021-02-23 18:34:54.221071
42,4.9694,2021-02-23 18:36:55.500027
43,4.9017,2021-02-23 18:38:54.836602
44,4.8334,2021-02-23 18:40:56.345068
45,4.7927,2021-02-23 18:42:55.771297
46,4.7405,2021-02-23 18:44:57.348676
47,4.7052,2021-02-23 18:46:56.606344
48,4.6430,2021-02-23 18:48:58.510370
49,4.6148,2021-02-23 18:50:57.726540
50,4.5438,2021-02-23 18:53:00.543226
51,4.5039,2021-02-23 18:54:59.547154
52,4.4638,2021-02-23 18:57:00.354419
53,4.4265,2021-02-23 18:59:01.857063
54,4.3919,2021-02-23 19:01:05.575224
55,4.3616,2021-02-23 19:03:08.334519
56,4.3054,2021-02-23 19:05:07.917856
57,4.2734,2021-02-23 19:07:09.609855
58,4.2332,2021-02-23 19:09:11.349264
59,4.1889,2021-02-23 19:11:13.480112
60,4.1723,2021-02-23 19:13:17.131311
61,4.1021,2021-02-23 19:15:18.448654
62,4.0597,2021-02-23 19:17:20.777035
63,4.0527,2021-02-23 19:19:22.071511
64,4.0114,2021-02-23 19:21:24.125209
65,3.9548,2021-02-23 19:23:25.282270
66,3.9064,2021-02-23 19:25:26.867599
67,3.8774,2021-02-23 19:27:30.005384
68,3.8598,2021-02-23 19:29:32.912949
69,3.8142,2021-02-23 19:31:38.352170
70,3.7550,2021-02-23 19:33:38.600209
71,3.7345,2021-02-23 19:35:40.621839
72,3.7092,2021-02-23 19:37:42.937344
73,3.6978,2021-02-23 19:39:44.716910
74,3.6552,2021-02-23 19:41:46.926231
75,3.6108,2021-02-23 19:43:47.823170
76,3.6073,2021-02-23 19:45:51.905782
77,3.5817,2021-02-23 19:47:55.405043
78,3.5508,2021-02-23 19:49:57.404909
79,3.5434,2021-02-23 19:52:00.369366
80,3.4910,2021-02-23 19:54:00.021835
81,3.4855,2021-02-23 19:56:04.434084
82,3.4457,2021-02-23 19:58:05.295539
